code,description
P0041,"Signaux sondes Lambda inversées, ligne 1 capteur 2/ligne 2 capteur 2"
P0042,"Sonde Lambda 3, ligne 1 , commande de chauffage - panne du circuit"
P0043,"Sonde Lambda 3, ligne 1 , commande de chauffage - circuit trop bas"
P0044,"Sonde Lambda 3, ligne 1 , commande de chauffage - circuit trop haut"
P0046,Électrovanne de commande de la pression de suralimentation - circuit ouvert
P0047,Électrovanne de commande de la pression de suralimentation du compresseur/turbocompresseur - circuit trop bas
P0048,Électrovanne de commande de la pression de suralimentation du compresseur/turbocompresseur - circuit trop haut
P0049,Turbine de compresseur/turbocompresseur - régime excessif
P0050,"Sonde Lambda 1, ligne 2, commande de chauffage - panne du circuit"
P0051,"Sonde Lambda 1, ligne 2, commande de chauffage - circuit trop bas"
P0052,"Sonde Lambda 1, ligne 2, commande de chauffage - circuit trop haut"
P0053,"Sonde Lambda, ligne 1 , capteur 1 - résistance du chauffage"
P0054,"Sonde Lambda, ligne 1 , capteur 2 - résistance du chauffage"
P0055,"Sonde Lambda, ligne 1 , capteur 3 - résistance du chauffage"
P0056,"Sonde Lambda 2, ligne 2, commande de chauffage - panne du circuit"
P0057,"Sonde Lambda 2, ligne 2, commande de chauffage - circuit de chauffage trop faible"
P0058,"Sonde Lambda 2, ligne 2, commande de chauffage - circuit trop haut"
P0059,"Sonde Lambda, ligne 2, capteur 1 - résistance du chauffage"
P0060,"Sonde Lambda, ligne 2, capteur 2 - résistance du chauffage"
P0061,"Sonde Lambda, ligne 2, capteur 3 -résistance du chauffage"
P0062,"Sonde Lambda 3, ligne 2, commande de chauffage - panne du circuit"
P0063,"Sonde Lambda 3, ligne 2, commande de chauffage - circuit trop bas"
P0064,"Sonde Lambda 3, ligne 2, commande de chauffage - circuit trop haut"
P0065,Injecteur assisté par air comprimé - problème de performance/de limites
P0066,Injecteur assisté par air comprimé - panne du circuit/circuit trop bas
P0067,Injecteur assisté par air comprimé - circuit trop haut
P0068,Corrélation capteur de pression absolue du collecteur d'admission/débitmètre d'air/position du papillon
P0069,Corrélation capteur de pression absolue du collecteur d'admission/capteur de pression atmosphérique
P0070,Sonde de température extérieure - panne du circuit
P0071,Sonde de température extérieure - problème de performance/de limites
P0072,Sonde de température extérieure - valeur d'entrée trop basse
P0073,Sonde de température extérieure - valeur d'entrée trop haute
P0074,Sonde de température extérieure - circuit intermittent
P0075,"Électrovanne de commande de soupape d'admission, ligne 1 - panne du circuit"
P0076,"Électrovanne de commande de soupape d'admission, ligne 1 - circuit trop bas"
P0077,"Électrovanne de commande de soupape d'admission, ligne 1 - circuit trop haut"
P0078,Électrovanne de commande de soupape d'échappement ligne 1 - panne du circuit
P0079,Électrovanne de commande de soupape d'échappement ligne 1 - circuit trop bas
P0080,Électrovanne de commande de soupape d'échappement ligne 1 - circuit trop haut
P0081,"Électrovanne de commande de soupape d'admission, ligne 2 - panne du circuit"
P0082,"Électrovanne de commande de soupape d'admission, ligne 2 - circuit trop bas"
P0083,"Électrovanne de commande de soupape d'admission, ligne 2 - circuit trop haut"
P0084,Électrovanne de commande de soupape d'échappement ligne 2 - panne du circuit
P0085,Électrovanne de commande de soupape d'échappement ligne 2 - circuit trop bas
P0086,Électrovanne de commande de soupape d'échappement ligne 2 - circuit trop haut
P0087,Rampe de distribution/pression du système trop faible
P0088,Rampe de distribution/pression du système trop haute
P0089,Régulateur de pression du carburant - problème de performance
P0090,Électrovanne de dosage de carburant - circuit ouvert
P0091,Électrovanne de dosage de carburant - court-circuit sur masse
P0092,Électrovanne de dosage de carburant - court-circuit sur l'alimentation
P0093,Fuite dans le système d'alimentation en carburant - fuite importante détectée
P0094,Fuite dans le système d'alimentation en carburant - petit fuite détectée
P0095,Sonde de température d'air d'admission 2 - panne du circuit
P0096,Sonde de température d'air d'admission 2 - plage de mesure/performance du circuit
P0097,Sonde de température d'air d'admission 2 - signal d'entrée du circuit trop bas
P0098,Sonde de température d'air d'admission 2 - signal d'entrée du circuit trop haut
P0099,Sonde de température d'air d'admission 2 - circuit intermittent/instable
P0100,Débitmètre d'air - panne du circuit
P0101,Débitmètre d'air - problème de performance/de limites
P0102,Débitmètre d'air - valeur d'entrée trop basse
P0103,Débitmètre d'air - valeur d'entrée trop haute
P0104,Débitmètre d'air - circuit intermittent
P0105,Capteur de pression absolue du collecteur d'admission/capteur de pression atmosphérique - panne du circuit
P0106,Capteur de pression absolue du collecteur d'admission/capteur de pression atmosphérique - problème de performance/de limites
P0107,Capteur de pression absolue du collecteur d'admission/capteur de pression atmosphérique - valeur d'entrée trop basse
P0108,Capteur de pression absolue du collecteur d'admission/capteur de pression atmosphérique - valeur d'entrée trop haute
P0109,Capteur de pression absolue du collecteur d'admission/capteur de pression atmosphérique - circuit intermittent
P0110,Sonde de température d'air d'admission - panne du circuit
P0111,Sonde de température d'air d'admission - problème de performance/de limites
P0112,Sonde de température d'air d'admission - valeur d'entrée trop basse
P0113,Sonde de température d'air d'admission - valeur d'entrée trop haute
P0114,Sonde de température d'air d'admission - circuit intermittent
P0115,Sonde de température du liquide de refroidissement - panne du circuit
P0116,Sonde de température du liquide de refroidissement - problème de performance/de limites
P0117,Sonde de température du liquide de refroidissement - valeur d'entrée trop basse
P0118,Sonde de température du liquide de refroidissement - valeur d'entrée trop haute
P0119,Sonde de température du liquide de refroidissement - circuit intermittent
P0120,Capteur de position de papillon A/capteur de position de la pédale d'accélérateur A - panne du circuit
P0121,Capteur de position de papillon A/capteur de position de la pédale d'accélérateur A - problème de performance/de limites
P0122,Capteur de position de papillon A/capteur de position de la pédale d'accélérateur A - valeur d'entrée trop basse
P0123,Capteur de position de papillon A/capteur de position de la pédale d'accélérateur A - valeur d'entrée trop haute
P0124,Capteur de position de papillon A/capteur de position de la pédale d'accélérateur A - circuit intermittent
P0125,Température du liquide de refroidissement insuffisante pour commande en boucle fermée
P0126,Température du liquide de refroidissement insuffisante pour un fonctionnement stable
P0127,Température d'air d'admission trop haute
P0128,Thermostat du liquide de refroidissement - température du liquide de refroidissement inférieure à la température de régulation du thermostat
P0129,Pression atmosphérique trop basse
P0130,"Sonde Lambda 1, ligne 1 - panne du circuit"
P0131,"Sonde Lambda 1, ligne 1 - signal bas"
P0132,"Sonde Lambda 1, ligne 1 - signal haut"
P0133,"Sonde Lambda 1, ligne 1 - réponse lente"
P0134,"Sonde Lambda 1, ligne 1 - pas d'activité détectée"
P0135,"Sonde Lambda 1, ligne 1 - commande de chauffage - panne de circuit"
P0136,"Sonde Lambda 2, ligne 1 - panne du circuit"
P0137,"Sonde Lambda 2, ligne 1 - signal bas"
P0138,"Sonde Lambda 2, ligne 1 - signal haut"
P0139,"Sonde Lambda 2, ligne 1 - réponse lente"
P0140,"Sonde Lambda 2, ligne 1 - pas d'activité détectée"
P0141,"Sonde Lambda 2, ligne 1 - commande de chauffage - panne de circuit"
P0142,"Sonde Lambda 3, ligne 1 - panne du circuit"
P0143,"Sonde Lambda 3, ligne 1 - signal bas"
P0144,"Sonde Lambda 3, ligne 1 - signal haut"
P0145,"Sonde Lambda 3, ligne 1 - réponse lente"
P0146,"Sonde Lambda 3, ligne 1 - pas d'activité détectée"
P0147,"Sonde Lambda 3, ligne 1 - commande de chauffage - panne de circuit"
P0148,Erreur de débit de carburant
P0149,Erreur de calage d'injection
P0150,"Sonde Lambda 1, ligne 2 - panne du circuit"
P0151,"Sonde Lambda 1, ligne 2 - signal bas"
P0152,"Sonde Lambda 1, ligne 2 - signal haut"
P0153,"Sonde Lambda 1, ligne 2 - réponse lente"
P0154,"Sonde Lambda 1, ligne 2 - pas d'activité détectée"
P0155,"Sonde Lambda 1, ligne 2 - commande de chauffage - panne de circuit"
P0156,"Sonde Lambda 2, ligne 2 - panne du circuit"
P0157,"Sonde Lambda 2, ligne 2 - signal bas"
P0158,"Sonde Lambda 2, ligne 2 - signal haut"
P0159,"Sonde Lambda 2, ligne 2 - réponse lente"
P0160,"Sonde Lambda 2, ligne 2 - pas d'activité détectée"
P0161,"Sonde Lambda 2, ligne 2 - commande de chauffage - panne de circuit"
P0162,"Sonde Lambda 3, ligne 2 - panne du circuit"
P0163,"Sonde Lambda 3, ligne 2 - signal bas"
P0164,"Sonde Lambda 3, ligne 2 - signal haut"
P0165,"Sonde Lambda 3, ligne 2 - réponse lente"
P0166,"Sonde Lambda 3, ligne 2 - pas d'activité détectée"
P0167,"Sonde Lambda 3, ligne 2 - commande de chauffage - panne de circuit"
P0168,Température du carburant trop haute
P0169,Erreur de composition du carburant
P0170,"Ajustement du carburant, ligne 1 - panne"
P0171,"Mélange trop pauvre, ligne 1"
P0172,"Mélange trop riche, ligne 1"
P0173,"Ajustement du carburant, ligne 2 - panne"
P0174,"Mélange trop pauvre, ligne 2"
P0175,"Mélange trop riche, ligne 2"
P0176,Capteur de composition du carburant - panne du circuit
P0177,Capteur de composition du carburant - problème de performance/de limites
P0178,Capteur de composition du carburant - valeur d'entrée trop basse
P0179,Capteur de composition du carburant - valeur d'entrée trop haute
P0180,Sonde de température du carburant A - panne du circuit
P0181,Sonde de température du carburant A - problème de performance/de limites
P0182,Sonde de température du carburant A - valeur d'entrée trop basse
P0183,Sonde de température du carburant A - valeur d'entrée trop haute
P0184,Sonde de température du carburant A - circuit intermittent
P0185,Sonde de température du carburant B - panne du circuit
P0186,Sonde de température du carburant B - problème de performance/de limites
P0187,Sonde de température du carburant B - valeur d'entrée trop basse
P0188,Sonde de température du carburant B - valeur d'entrée trop haute
P0189,Sonde de température du carburant B - circuit intermittent
P0190,Capteur de pression de la rampe de distribution - panne du circuit
P0191,Capteur de pression de la rampe de distribution - problème de performance/de limites
P0192,Capteur de pression de la rampe de distribution - valeur d'entrée trop basse
P0193,Capteur de pression de la rampe de distribution - valeur d'entrée trop haute
P0194,Capteur de pression de la rampe de distribution - circuit intermittent
P0195,Sonde de température d'huile moteur - panne du circuit
P0196,Sonde de température d'huile moteur - problème de performance/de limites
P0197,Sonde de température d'huile moteur - valeur d'entrée trop basse
P0198,Sonde de température d'huile moteur - valeur d'entrée trop haute
P0199,Sonde de température d'huile moteur - circuit intermittent
P0200,Injecteur - panne du circuit
P0201,Injecteur 1 - panne du circuit
P0202,Injecteur 2 - panne du circuit
P0203,Injecteur 3 - panne du circuit
P0204,Injecteur 4 - panne du circuit
P0205,Injecteur 5 - panne du circuit
P0206,Injecteur 6 - panne du circuit
P0207,Injecteur 7 - panne du circuit
P0208,Injecteur 8 - panne du circuit
P0209,Injecteur 9 - panne du circuit
P0210,Injecteur 10 - panne du circuit
P0211,Injecteur 11 - panne du circuit
P0212,Injecteur 12 - panne du circuit
P0213,Injecteur de départ à froid 1 - panne du circuit
P0214,Injecteur de départ à froid 2 - panne du circuit
P0215,Électrovanne de coupure de carburant - panne du circuit
P0216,Commande de calage d'injection - panne du circuit
P0217,Surchauffe du moteur
P0218,Surchauffe de la transmission
P0219,Régime excessif
P0220,Capteur de position de papillon B/capteur de position de la pédale d'accélérateur B - panne du circuit
P0221,Capteur de position de papillon B/capteur de position de la pédale d'accélérateur B - problème de performance/de limites
P0222,Capteur de position de papillon B/capteur de position de la pédale d'accélérateur B - valeur d'entrée trop basse
P0223,Capteur de position de papillon B/capteur de position de la pédale d'accélérateur B - valeur d'entrée trop haute
P0224,Capteur de position de papillon B/capteur de position de la pédale d'accélérateur B - circuit intermittent
P0225,Capteur de position de papillon C/capteur de position de la pédale d'accélérateur C - panne du circuit
P0226,Capteur de position de papillon C/capteur de position de la pédale d'accélérateur C - problème de performance/de limites
P0227,Capteur de position de papillon C/capteur de position de la pédale d'accélérateur C - valeur d'entrée trop basse
P0228,Capteur de position de papillon C/capteur de position de la pédale d'accélérateur C - valeur d'entrée trop haute
P0229,Capteur de position de papillon C/capteur de position de la pédale d'accélérateur C - circuit intermittent
P0230,Circuit primaire de pompe à carburant - panne du circuit
P0231,Circuit secondaire de pompe à carburant - circuit trop bas
P0232,Circuit secondaire de pompe à carburant - circuit trop haut
P0233,Circuit secondaire de pompe à carburant - circuit intermittent
P0234,Condition de suralimentation du moteur - limite dépassée
P0235,"Capteur de pression absolue du collecteur d'admission A, circuit du turbocompresseur - panne du circuit"
P0236,"Capteur de pression absolue du collecteur d'admission A, circuit du turbocompresseur - problème de performance/de limites"
P0237,"Capteur de pression absolue du collecteur d'admission A, circuit du turbocompresseur - valeur d'entrée trop basse"
P0238,"Capteur de pression absolue du collecteur d'admission A, circuit du turbocompresseur - valeur d'entrée trop haute"
P0239,"Capteur de pression absolue du collecteur d'admission B, circuit du turbocompresseur - panne du circuit"
P0240,"Capteur de pression absolue du collecteur d'admission B, circuit du turbocompresseur - problème de performance/de limites"
P0241,"Capteur de pression absolue du collecteur d'admission B, circuit du turbocompresseur - valeur d'entrée trop basse"
P0242,"Capteur de pression absolue du collecteur d'admission B, circuit du turbocompresseur - valeur d'entrée trop haute"
P0243,Électrovanne de décharge du turbocompresseur A - panne du circuit
P0244,Électrovanne de décharge du turbocompresseur A - problème de performance/de limites
P0245,Électrovanne de décharge du turbocompresseur A - circuit trop bas
P0246,Électrovanne de décharge du turbocompresseur A - circuit trop haut
P0247,Électrovanne de décharge du turbocompresseur B - panne du circuit
P0248,Électrovanne de décharge du turbocompresseur B - problème de performance/de limites
P0249,Électrovanne de décharge du turbocompresseur B - circuit trop bas
P0250,Électrovanne de décharge du turbocompresseur B - circuit trop haut
P0251,"Pompe d'injection A, rotor/cames - panne du circuit"
P0252,"Pompe d'injection A, rotor/cames - problème de performance/de limites"
P0253,"Pompe d'injection A, rotor/cames - circuit trop bas"
P0254,"Pompe d'injection A, rotor/cames - circuit trop haut"
P0255,"Pompe d'injection A, rotor/cames - circuit intermittent"
P0256,"Pompe d'injection B, rotor/cames - panne du circuit"
P0257,"Pompe d'injection B, rotor/cames - problème de performance/de limites"
P0258,"Pompe d'injection B, rotor/cames - circuit trop bas"
P0259,"Pompe d'injection B, rotor/cames - circuit trop haut"
P0260,"Pompe d'injection B, rotor/cames - circuit intermittent"
P0261,Injecteur 1 - circuit trop bas
P0262,Injecteur 1 - circuit trop haut
P0263,Cylindre 1 - Quantité de fuel injecté - défaut d'équilibrage
P0264,Injecteur 2 - circuit trop bas
P0265,Injecteur 2 - circuit trop haut
P0266,Cylindre 2 - Quantité de fuel injecté - défaut d'équilibrage
P0267,Injecteur 3 - circuit trop bas
P0268,Injecteur 3 - circuit trop haut
P0269,Cylindre 3 - Quantité de fuel injecté - défaut d'équilibrage
P0270,Injecteur 4 - circuit trop bas
P0271,Injecteur 4 - circuit trop haut
P0272,Cylindre 4 - Quantité de fuel injecté - défaut d'équilibrage
P0273,Injecteur 5 - circuit trop bas
P0274,Injecteur 5 - circuit trop haut
P0275,Cylindre 5 - Quantité de fuel injecté - défaut d'équilibrage
P0276,Injecteur 6 - circuit trop bas
P0277,Injecteur 6 - circuit trop haut
P0278,Cylindre 6 - Quantité de fuel injecté - défaut d'équilibrage
P0279,Injecteur 7 - circuit trop bas
P0280,Injecteur 7 - circuit trop haut
P0281,Cylindre 7 - Quantité de fuel injecté - défaut d'équilibrage
P0282,Injecteur 8 - circuit trop bas
P0283,Injecteur 8 - circuit trop haut
P0284,Cylindre 8 - Quantité de fuel injecté - défaut d'équilibrage
P0285,Injecteur 9 - circuit trop bas
P0286,Injecteur 9 - circuit trop haut
P0287,Cylindre 9 - Quantité de fuel injecté - défaut d'équilibrage
P0288,Injecteur 10 - circuit trop bas
P0289,Injecteur 10 - circuit trop haut
P0290,Cylindre 10 - Quantité de fuel injecté - défaut d'équilibrage
P0291,Injecteur 11 - circuit trop bas
P0292,Injecteur 11 - circuit trop haut
P0293,Cylindre 11 - Quantité de fuel injecté - défaut d'équilibrage
P0294,Injecteur 12 - circuit trop bas
P0295,Injecteur 12 - circuit trop haut
P0296,Cylindre 12 - Quantité de fuel injecté - défaut d'équilibrage
P0297,Vitesse excessive véhicule
P0298,Température d'huile moteur trop haute
P0299,Compresseur/turbocompresseur - pression de suralimentation faible
P0300,Cylindre(s) multiple(s) - ratés d'allumage aléatoire détectés
P0301,Cylindre 1 - ratés d'allumage détectés
P0302,Cylindre 2 - ratés d'allumage détectés
P0303,Cylindre 3 - ratés d'allumage détectés
P0304,Cylindre 4 - ratés d'allumage détectés
P0305,Cylindre 5 - ratés d'allumage détectés
P0306,Cylindre 6 - ratés d'allumage détectés
P0307,Cylindre 7 - ratés d'allumage détectés
P0308,Cylindre 8 - ratés d'allumage détectés
P0309,Cylindre 9 - ratés d'allumage détectés
P0310,Cylindre 10 - ratés d'allumage détectés
P0311,Cylindre 11 - ratés d'allumage détectés
P0312,Cylindre 12 - ratés d'allumage détectés
P0313,Ratés d'allumage détectés avec niveau de carburant trop bas
P0314,Raté d'allumage dans un seul cylindre - cylindre non spécifié
P0315,Système position du vilebrequin - variation non apprise
P0316,Ratés d'allumage détectés au démarrage - dans les 1000 premiers tours moteur
P0317,Composant détecteur de route accidentée absent
P0318,Signal du détecteur de route accidentée A - panne du circuit
P0319,Signal du détecteur de route accidentée B - panne du circuit
P0320,Capteur de vilebrequin/de régime - panne du circuit
P0321,Capteur de vilebrequin/de régime - problème de performance/de limites
P0322,Capteur de vilebrequin/de régime - aucun signal
P0323,Capteur de vilebrequin/de régime - circuit intermittent
P0324,Erreur de système anti-cliquetis
P0325,Détecteur de cliquetis 1 (ligne 2 ou capteur unique) - panne du circuit
P0326,Détecteur de cliquetis 1 (ligne 2 ou capteur unique) - problème de performance/de limites
P0327,Détecteur de cliquetis 1 (ligne 2 ou capteur unique) - valeur d'entrée trop basse
P0328,Détecteur de cliquetis 1 (ligne 2 ou capteur unique) - valeur d'entrée trop haute
P0329,Détecteur de cliquetis 1 (ligne 2 ou capteur unique) - circuit intermittent
P0330,"Détecteur de cliquetis 2, ligne 2 - panne du circuit"
P0331,"Détecteur de cliquetis 2, ligne 2 - problème de performance/de limites"
P0332,"Détecteur de cliquetis 2, ligne 2 - valeur d'entrée trop basse"
P0333,"Détecteur de cliquetis 2, ligne 2 - valeur d'entrée trop haute"
P0334,"Détecteur de cliquetis 2, ligne 2 - circuit intermittent"
P0335,Capteur de vilebrequin - panne du circuit
P0336,Capteur de vilebrequin - problème de performance/de limites
P0337,Capteur de vilebrequin - valeur d'entrée trop basse
P0338,Capteur de vilebrequin - valeur d'entrée trop haute
P0339,Capteur de vilebrequin - circuit intermittent
P0340,Capteur d'arbre à cames A ligne 1 - panne du circuit
P0341,Capteur d'arbre à cames A ligne 1 - problème de performance/de limites
P0342,Capteur d'arbre à cames A ligne 1 - valeur d'entrée trop basse
P0343,Capteur d'arbre à cames A ligne 1 - valeur d'entrée trop haute
P0344,Capteur d'arbre à cames A ligne 1 - circuit intermittent
P0345,Capteur d'arbre à cames A ligne 2 - panne du circuit
P0346,Capteur d'arbre à cames A ligne 2 - problème de performance/de limites
P0347,Capteur d'arbre à cames A ligne 2 - valeur d'entrée trop basse
P0348,Capteur d'arbre à cames A ligne 2 - valeur d'entrée trop haute
P0349,Capteur d'arbre à cames A ligne 2 - circuit intermittent
P0350,"Bobine d'allumage, primaire/secondaire - panne du circuit"
P0351,"Bobine d'allumage A, primaire/secondaire - panne du circuit"
P0352,"Bobine d'allumage B, primaire/secondaire - panne du circuit"
P0353,"Bobine d'allumage C, primaire/secondaire - panne du circuit"
P0354,"Bobine d'allumage D, primaire/secondaire - panne du circuit"
P0355,"Bobine d'allumage E, primaire/secondaire - panne du circuit"
P0356,"Bobine d'allumage F, primaire/secondaire - panne du circuit"
P0357,"Bobine d'allumage G, primaire/secondaire - panne du circuit"
P0358,"Bobine d'allumage H, primaire/secondaire - panne du circuit"
P0359,"Bobine d'allumage I, primaire/secondaire - panne du circuit"
P0360,"Bobine d'allumage J, primaire/secondaire - panne du circuit"
P0361,"Bobine d'allumage K, primaire/secondaire - panne du circuit"
P0362,"Bobine d'allumage L, primaire/secondaire - panne du circuit"
P0363,Ratés d'allumage détectés - alimentation en carburant désactivée
P0364,"Bobine d'allumage L, primaire/secondaire - panne du circuit"
P0365,"Capteur d'arbre à cames B, ligne 1 - panne du circuit"
P0366,"Capteur d'arbre à cames B, ligne 1 - plage de mesure/performance du circuit"
P0367,"Capteur d'arbre à cames B, ligne 1 - signal d'entrée du circuit trop bas"
P0368,"Capteur d'arbre à cames B, ligne 1 - signal d'entrée du circuit trop haut"
P0369,"Capteur d'arbre à cames B, ligne 1 - circuit intermittent"
P0370,"Référence de calage, signal haute résolution A - panne"
P0371,"Référence de calage, signal haute résolution A - trop de signaux"
P0372,"Référence de calage, signal haute résolution A - trop peu de signaux"
P0373,"Référence de calage, signal haute résolution A - signaux irréguliers intermittents"
P0374,"Référence de calage, signal haute résolution A - pas de signaux"
P0375,"Référence de calage, signal haute résolution B - panne"
P0376,"Référence de calage, signal haute résolution B - trop de signaux"
P0377,"Référence de calage, signal haute résolution B - trop peu de signaux"
P0378,"Référence de calage, signal haute résolution B - signaux irréguliers intermittents"
P0379,"Référence de calage, signal haute résolution B - pas de signaux"
P0380,"Bougies de préchauffage, circuit A - panne"
P0381,Lampe témoin bougies de préchauffage - panne du circuit
P0382,"Bougies de préchauffage, circuit B - panne"
P0383,Lampe témoin bougies de préchauffage
P0384,"Bougies de préchauffage, circuit B"
P0385,Capteur de vilebrequin B - panne du circuit
P0386,Capteur de vilebrequin B - problème de performance/de limites
P0387,Capteur de vilebrequin B - valeur d'entrée trop basse
P0388,Capteur de vilebrequin B - valeur d'entrée trop haute
P0389,Capteur de vilebrequin B - circuit intermittent
P0390,"Capteur d'arbre à cames B, ligne 2 - panne du circuit"
P0391,"Capteur d'arbre à cames B, ligne 2 - plage de mesure/performance du circuit"
P0392,"Capteur d'arbre à cames B, ligne 2 - signal d'entrée du circuit trop bas"
P0393,"Capteur d'arbre à cames B, ligne 2 - signal d'entrée du circuit trop haut"
P0394,"Capteur d'arbre à cames B, ligne 2 - circuit intermittent"
P0395,"Capteur d'arbre à cames B, ligne 2 - signal d'entrée du circuit trop haut"
P0396,"Capteur d'arbre à cames B, ligne 2 - circuit intermittent"
P0400,Système EGR - problème de débit
P0401,Système EGR - débit insuffisant détecté
P0402,Système EGR - débit excessif détecté
P0403,Recyclage des gaz d'échappement - panne du circuit
P0404,Système EGR - problème de performance/de limites
P0405,Capteur de position de la valve EGR A - valeur d'entrée trop basse
P0406,Capteur de position de la valve EGR A - valeur d'entrée trop haute
P0407,Capteur de position de la valve EGR B - valeur d'entrée trop basse
P0408,Capteur de position de la valve EGR B - valeur d'entrée trop haute
P0409,Capteur EGR A - panne du circuit
P0410,Système d'injection d'air secondaire - panne
P0411,Système d'injection d'air secondaire - débit incorrect détecté
P0412,Électrovanne d'injection d'air secondaire A - panne du circuit
P0413,Électrovanne d'injection d'air secondaire A - circuit ouvert
P0414,Électrovanne d'injection d'air secondaire A - courtcircuit
P0415,Électrovanne d'injection d'air secondaire B - panne du circuit
P0416,Électrovanne d'injection d'air secondaire B - circuit ouvert
P0417,Électrovanne d'injection d'air secondaire B - courtcircuit
P0418,Relais de la pompe d'injection d'air secondaire A - panne du circuit
P0419,Relais de la pompe d'injection d'air secondaire B - panne du circuit
P0420,"Circuit de catalyseur, ligne 1 - rendement inférieur au seuil"
P0421,"Pré-catalyseur, ligne 1 - rendement inférieur au seuil"
P0422,"Catalyseur principal, ligne 1 - rendement inférieur au seuil"
P0423,"Catalyseur chauffé, ligne 1 - rendement inférieur au seuil"
P0424,"Catalyseur chauffé, ligne 1 - température inférieur au seuil"
P0425,"Sonde de température du catalyseur 1, ligne 1"
P0426,"Sonde de température du catalyseur 1, ligne 1 - plage de mesure/performance"
P0427,"Sonde de température du catalyseur 1, ligne 1 - valeur d'entrée trop basse"
P0428,"Sonde de température du catalyseur 1, ligne 1 - valeur d'entrée trop haute"
P0429,"Chauffage catalyseur, ligne 1 - panne du circuit de commande"
P0430,"Circuit de catalyseur, ligne 2 - rendement inférieur au seuil"
P0431,"Pré-catalyseur, ligne 2 - rendement inférieur au seuil"
P0432,"Catalyseur principal, ligne 2 - rendement inférieur au seuil"
P0433,"Catalyseur chauffé, ligne 2 - rendement inférieur au seuil"
P0434,"Catalyseur chauffé, ligne 2 - température inférieur au seuil"
P0435,"Sonde de température du catalyseur 1, ligne 2"
P0436,"Sonde de température du catalyseur 1, ligne 2 - plage de mesure/performance"
P0437,"Sonde de température du catalyseur 1, ligne 2 - valeur d'entrée trop basse"
P0438,"Sonde de température du catalyseur 1, ligne 2 - valeur d'entrée trop haute"
P0439,"Chauffage catalyseur, ligne 2 - panne du circuit"
P0440,Système de purge canister - panne
P0441,Système de purge canister - débit incorrect détecté
P0442,Système de purge canister - petite fuite détectée
P0443,Électrovanne de purge canister - panne du circuit
P0444,Électrovanne de purge canister - circuit ouvert
P0445,Électrovanne de purge canister - courtcircuit
